MCID,CID,Campaign Name,AID,MAID,Advertiser Name,BID,Business,Budget,Start Date,Last 7 Days,Last 30 Days,Service Principal Name,Service Principal Manager,Channel,,,,,,,,,,,
440-088-5868,3841770,LSA | Munoz Inc | Synthetic,329844,714582,Munoz Inc,5673,Munoz Inc INC,"6,388.44",31-01-2026,0.00,"61,070.73",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
317-901-9054,1410320,"LSA | Cox, Thornton and Stout | Synthetic",907675,631921,"Cox, Thornton and Stout",5673,"Cox, Thornton and Stout INC","44,260.23",03-11-2025,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
307-048-9108,0770993,LSA | Erickson-Patrick | Synthetic,266805,290959,Erickson-Patrick,5673,Erickson-Patrick INC,"20,508.05",06-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
562-231-7234,3355597,LSA | Erickson-Patrick | Synthetic,266805,290959,Erickson-Patrick,5673,Erickson-Patrick INC,"54,528.13",11-02-2026,0.00,"22,183.73",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
986-173-9179,8612737,LSA | Erickson-Patrick | Synthetic,266805,290959,Erickson-Patrick,5673,Erickson-Patrick INC,"4,346.49",11-09-2025,0.00,"32,017.82",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
558-579-6856,2958661,LSA | Ferrell-Wright | Synthetic,405947,570928,Ferrell-Wright,5673,Ferrell-Wright INC,"10,421.23",01-05-2026,"6,437.41","44,997.48",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
055-387-2421,4587014,LSA | Ferrell-Wright | Synthetic,405947,570928,Ferrell-Wright,5673,Ferrell-Wright INC,"18,291.99",07-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
838-363-1534,4312088,"LSA | Bell, Vargas and West | Synthetic",072086,897556,"Bell, Vargas and West",5673,"Bell, Vargas and West INC","48,660.34",01-05-2026,"4,762.03","37,508.50",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
805-473-4235,0619718,"LSA | Bell, Vargas and West | Synthetic",072086,897556,"Bell, Vargas and West",5673,"Bell, Vargas and West INC","45,236.62",18-03-2026,"4,064.56","33,096.79",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
564-126-1002,9118017,LSA | Warren-Cook | Synthetic,683035,237834,Warren-Cook,5673,Warren-Cook INC,"57,572.07",14-01-2026,0.00,"37,334.89",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
865-317-6621,5441663,LSA | Smith-Hawkins | Synthetic,339277,149790,Smith-Hawkins,0377,Smith-Hawkins INC,"25,845.05",09-04-2026,"11,950.03","43,020.57",Re-Intermediate Extensible Schemas,Stephen Vargas,DirectLocal,,,,,,,,,,,
635-462-5894,2717907,"LSA | Valdez, Stout and Martin | Synthetic",435153,415143,"Valdez, Stout and Martin",5673,"Valdez, Stout and Martin INC","3,693.40",03-11-2025,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
711-993-8254,8243520,LSA | Rodriguez and Sons | Synthetic,823403,966939,Rodriguez and Sons,5673,Rodriguez and Sons INC,"25,940.49",01-05-2026,"9,095.21","42,346.21",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
599-503-9846,1880662,LSA | Jensen Ltd | Synthetic,484845,833866,Jensen Ltd,5673,Jensen Ltd INC,"13,748.26",06-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
472-552-4124,8014053,"LSA | Hunt, Ray and Smith | Synthetic",050570,848332,"Hunt, Ray and Smith",5673,"Hunt, Ray and Smith INC","43,743.81",01-05-2026,0.00,"20,484.45",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
887-591-3749,6619964,LSA | Patel Inc | Synthetic,710174,527784,Patel Inc,5673,Patel Inc INC,"52,398.11",01-05-2026,771.52,"33,889.66",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
007-917-6887,6640961,"LSA | Reyes, Olson and Morgan | Synthetic",339129,558898,"Reyes, Olson and Morgan",8295,"Reyes, Olson and Morgan INC","52,743.45",02-05-2026,"12,230.24","16,917.32",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
706-187-7104,1750840,LSA | Paul-Jackson | Synthetic,168585,238338,Paul-Jackson,8295,Paul-Jackson INC,"17,956.57",30-04-2026,"5,351.10","14,548.02",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
309-661-8000,5304145,"LSA | White, Walker and Boyd | Synthetic",627311,597914,"White, Walker and Boyd",5673,"White, Walker and Boyd INC","58,538.43",01-05-2026,"1,959.40","24,375.49",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
320-277-5170,9969654,"LSA | Winters, Nelson and Nichols | Synthetic",656687,321065,"Winters, Nelson and Nichols",2138,"Winters, Nelson and Nichols INC","45,302.53",16-04-2026,"6,871.28","14,796.41",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
379-074-1769,0877130,LSA | Bell-Cook | Synthetic,166721,394590,Bell-Cook,8295,Bell-Cook INC,"9,627.88",09-04-2026,121.53,"24,248.96",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
664-103-4520,0350002,LSA | Patterson and Sons | Synthetic,310234,105479,Patterson and Sons,8295,Patterson and Sons INC,"48,953.89",23-11-2024,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
129-768-9775,6748855,LSA | Harris and Sons | Synthetic,268276,170580,Harris and Sons,5673,Harris and Sons INC,"45,890.48",01-05-2026,"10,528.38","5,565.90",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
857-092-9205,5805491,LSA | Hampton-Carrillo | Synthetic,560065,273859,Hampton-Carrillo,5673,Hampton-Carrillo INC,"16,845.97",16-01-2026,0.00,"44,571.18",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
234-496-5446,9679852,LSA | Hampton-Carrillo | Synthetic,560065,273859,Hampton-Carrillo,5673,Hampton-Carrillo INC,"50,843.57",06-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
937-353-2719,6037777,LSA | Clark-Merritt | Synthetic,358165,534760,Clark-Merritt,8295,Clark-Merritt INC,"30,524.10",02-05-2026,"10,736.95","18,456.50",Grow Plug-And-Play Functionalities,Gina Sullivan,National,,,,,,,,,,,
788-482-2946,9848964,LSA | Norris-Caldwell | Synthetic,673726,711011,Norris-Caldwell,8295,Norris-Caldwell INC,"26,035.50",04-04-2026,"10,176.32","45,544.61",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
255-617-3453,0551698,LSA | Bernard-Bell | Synthetic,372339,786774,Bernard-Bell,9932,Bernard-Bell INC,"50,386.73",02-05-2026,"8,994.38","65,610.80",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
374-347-0528,4575678,LSA | Taylor-Miller | Synthetic,032019,339773,Taylor-Miller,8295,Taylor-Miller INC,"19,429.69",16-12-2023,0.00,0.00,Grow Plug-And-Play Functionalities,Gina Sullivan,National,,,,,,,,,,,
398-183-1606,7287466,LSA | Reed-Rivera | Synthetic,123821,151395,Reed-Rivera,7819,Reed-Rivera INC,"50,135.54",05-04-2026,"8,235.57","63,353.85",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
821-381-5581,2076209,"LSA | Martin, Wilson and Carr | Synthetic",052240,557218,"Martin, Wilson and Carr",8295,"Martin, Wilson and Carr INC","24,235.30",06-05-2026,0.00,"45,130.68",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
099-873-1765,3560156,LSA | Rose-Chan | Synthetic,344344,464198,Rose-Chan,5037,Rose-Chan INC,"39,933.51",19-07-2024,0.00,0.00,Incentivize Holistic E-Business,Peggy Patrick,DummyG,,,,,,,,,,,
042-465-1095,0174706,LSA | Stevens-Lee | Synthetic,002170,978981,Stevens-Lee,5673,Stevens-Lee INC,"11,010.32",01-05-2026,0.00,"59,152.62",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
914-315-7393,7010530,LSA | Sullivan Inc | Synthetic,986937,300109,Sullivan Inc,5673,Sullivan Inc INC,"24,171.27",31-03-2026,0.00,"15,600.17",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
171-699-9211,2812117,LSA | Sullivan Inc | Synthetic,986937,300109,Sullivan Inc,5673,Sullivan Inc INC,"16,604.50",11-04-2026,"2,838.74","61,418.79",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
170-880-3869,0808785,LSA | Williams-Williams | Synthetic,767639,349240,Williams-Williams,5673,Williams-Williams INC,"44,045.07",01-05-2026,"7,756.88","27,873.67",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
112-708-6787,6464066,LSA | Williams-Williams | Synthetic,767639,349240,Williams-Williams,5673,Williams-Williams INC,"1,372.27",06-01-2026,0.00,"14,863.79",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
711-393-2947,2548593,LSA | Kelley PLC | Synthetic,936164,221953,Kelley PLC,5673,Kelley PLC INC,"36,747.21",30-01-2026,"3,195.61","4,129.10",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
204-881-4330,0892225,LSA | Morgan-Grant | Synthetic,725448,541462,Morgan-Grant,8295,Morgan-Grant INC,"2,937.46",13-08-2022,0.00,0.00,Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
956-862-5450,7659420,LSA | Lozano-Hill | Synthetic,825582,515294,Lozano-Hill,5673,Lozano-Hill INC,"56,689.65",30-01-2026,"8,479.34","43,345.42",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
273-140-6825,0904045,"LSA | Johnson, Spears and Gray | Synthetic",886370,292942,"Johnson, Spears and Gray",2916,"Johnson, Spears and Gray INC","21,613.47",10-03-2026,0.00,"64,097.39",Innovate Cross-Media Content,System,Partner,,,,,,,,,,,
990-246-0272,3603537,"LSA | Johnson, Spears and Gray | Synthetic",886370,292942,"Johnson, Spears and Gray",2916,"Johnson, Spears and Gray INC","36,093.89",24-03-2026,0.00,0.00,Innovate Cross-Media Content,System,Partner,,,,,,,,,,,
945-731-8590,9213593,LSA | Wood Inc | Synthetic,487292,186612,Wood Inc,8295,Wood Inc INC,"2,505.80",22-04-2026,"8,445.14","27,737.10",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
030-235-4483,2816188,"LSA | Smith, Gardner and Jones | Synthetic",349044,990981,"Smith, Gardner and Jones",5673,"Smith, Gardner and Jones INC","26,148.49",12-04-2026,"12,856.54","66,989.01",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
027-650-9444,2940332,LSA | Reese PLC | Synthetic,783887,666010,Reese PLC,5673,Reese PLC INC,"44,954.95",01-05-2026,"4,447.75","37,901.51",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
893-090-9446,7090538,LSA | Reese PLC | Synthetic,783887,666010,Reese PLC,5673,Reese PLC INC,"44,050.50",31-03-2026,"8,179.15","36,367.70",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
031-146-8186,9232111,LSA | Rubio and Sons | Synthetic,619951,926160,Rubio and Sons,5673,Rubio and Sons INC,"38,005.75",01-05-2026,"10,518.13","50,625.88",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
477-099-1347,1293303,LSA | Rubio and Sons | Synthetic,619951,926160,Rubio and Sons,5673,Rubio and Sons INC,"27,997.04",22-02-2026,"9,827.69","50,365.03",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
533-023-0991,3558130,LSA | Cuevas-Bell | Synthetic,740769,792393,Cuevas-Bell,5673,Cuevas-Bell INC,"15,198.60",01-05-2026,"3,344.93","22,344.32",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
736-538-2325,8997981,"LSA | Reed, Weaver and Jones | Synthetic",824099,586085,"Reed, Weaver and Jones",5673,"Reed, Weaver and Jones INC","23,384.88",06-01-2026,0.00,"69,001.47",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
348-667-6225,0391400,"LSA | Reynolds, Fletcher and Cook | Synthetic",495574,449289,"Reynolds, Fletcher and Cook",5673,"Reynolds, Fletcher and Cook INC","56,266.43",06-01-2026,"7,521.21","39,767.79",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
903-163-4828,8822764,"LSA | Reynolds, Fletcher and Cook | Synthetic",495574,449289,"Reynolds, Fletcher and Cook",5673,"Reynolds, Fletcher and Cook INC","56,588.50",17-12-2025,0.00,"20,976.07",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
853-535-1360,3084154,"LSA | Hill, Scott and Barnett | Synthetic",218760,680394,"Hill, Scott and Barnett",5673,"Hill, Scott and Barnett INC","23,502.10",03-11-2025,0.00,"37,619.55",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
971-756-6011,0649194,LSA | Olson and Sons | Synthetic,315058,908526,Olson and Sons,5673,Olson and Sons INC,"56,588.29",01-05-2026,"2,977.15","64,068.67",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
910-940-0413,0007351,LSA | Olson and Sons | Synthetic,315058,908526,Olson and Sons,5673,Olson and Sons INC,"24,039.67",17-02-2026,"1,541.52",521.68,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
604-852-9263,1406557,"LSA | Frazier, Martinez and Moody | Synthetic",931594,788891,"Frazier, Martinez and Moody",9932,"Frazier, Martinez and Moody INC","59,215.95",04-10-2024,0.00,0.00,Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
794-644-8110,9099711,LSA | Shepard PLC | Synthetic,977695,643503,Shepard PLC,9932,Shepard PLC INC,"51,932.41",02-08-2024,0.00,0.00,Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
912-180-1421,4837638,"LSA | Weaver, Martin and Velazquez | Synthetic",802250,855450,"Weaver, Martin and Velazquez",5673,"Weaver, Martin and Velazquez INC","9,828.85",01-05-2026,"10,647.95","63,840.16",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
138-629-9408,3026420,"LSA | Weaver, Martin and Velazquez | Synthetic",802250,855450,"Weaver, Martin and Velazquez",5673,"Weaver, Martin and Velazquez INC","1,282.67",20-02-2026,"6,784.80","52,601.70",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
467-624-6850,7989742,"LSA | Moore, Turner and Osborne | Synthetic",822980,444465,"Moore, Turner and Osborne",5673,"Moore, Turner and Osborne INC","41,969.74",05-05-2026,"1,424.52","54,034.32",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
897-689-1203,9738013,LSA | Potter-Walters | Synthetic,784346,933252,Potter-Walters,5673,Potter-Walters INC,"8,172.44",27-02-2026,"12,141.30","7,218.27",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
161-422-9293,1932746,LSA | Potter-Walters | Synthetic,784346,933252,Potter-Walters,5673,Potter-Walters INC,"27,518.66",21-04-2026,233.14,"42,705.45",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
463-242-1744,4181845,LSA | Patterson Group | Synthetic,515747,649451,Patterson Group,5673,Patterson Group INC,"24,204.34",01-05-2026,0.00,"9,371.49",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
883-078-5612,2563000,LSA | Patterson Group | Synthetic,515747,649451,Patterson Group,5673,Patterson Group INC,"5,837.34",06-01-2026,"7,112.61","63,829.56",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
215-114-4931,3549258,"LSA | Yang, Carrillo and Williamson | Synthetic",572875,655122,"Yang, Carrillo and Williamson",5673,"Yang, Carrillo and Williamson INC","47,754.30",01-05-2026,0.00,"13,402.19",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
256-006-7670,1099382,"LSA | Yang, Carrillo and Williamson | Synthetic",572875,655122,"Yang, Carrillo and Williamson",5673,"Yang, Carrillo and Williamson INC","17,672.96",13-01-2026,0.00,"41,225.99",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
407-150-9813,4209067,LSA | Graham-Brown | Synthetic,301971,829105,Graham-Brown,5673,Graham-Brown INC,"4,901.10",01-05-2026,"2,846.30","5,805.03",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
887-989-9986,2300261,LSA | Wallace Inc | Synthetic,604589,312876,Wallace Inc,5673,Wallace Inc INC,"21,323.14",01-05-2026,0.00,"21,150.76",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
614-622-2903,2476030,LSA | Kennedy-Hansen | Synthetic,784714,651010,Kennedy-Hansen,5673,Kennedy-Hansen INC,"6,244.11",21-01-2026,"11,376.96","60,991.28",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
035-544-0840,8901137,LSA | Fletcher-Gonzalez | Synthetic,757896,122439,Fletcher-Gonzalez,5673,Fletcher-Gonzalez INC,"5,352.53",06-01-2026,"6,948.65","3,271.34",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
286-577-9365,0467917,LSA | Fletcher-Gonzalez | Synthetic,757896,122439,Fletcher-Gonzalez,5673,Fletcher-Gonzalez INC,"5,027.72",13-03-2026,"2,620.81","38,618.87",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
671-577-9532,0823833,LSA | Porter-Miller | Synthetic,688537,053835,Porter-Miller,5673,Porter-Miller INC,"14,765.00",30-01-2026,962.75,"43,513.14",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
948-379-9490,3168921,LSA | Porter-Miller | Synthetic,688537,053835,Porter-Miller,5673,Porter-Miller INC,"50,050.06",06-01-2026,0.00,"50,252.68",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
946-835-4583,5549109,"LSA | Haley, Fleming and Lee | Synthetic",374333,114240,"Haley, Fleming and Lee",5673,"Haley, Fleming and Lee INC","25,236.11",30-01-2026,0.00,"22,056.18",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
173-842-0821,0604845,"LSA | Haley, Fleming and Lee | Synthetic",374333,114240,"Haley, Fleming and Lee",5673,"Haley, Fleming and Lee INC","17,806.82",18-04-2026,"13,071.76","15,045.34",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
758-711-8759,8341768,LSA | Rasmussen-Perez | Synthetic,836078,743475,Rasmussen-Perez,5673,Rasmussen-Perez INC,"50,172.86",01-05-2026,0.00,"21,018.57",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
693-856-4520,3678208,LSA | Rasmussen-Perez | Synthetic,836078,743475,Rasmussen-Perez,5673,Rasmussen-Perez INC,"54,400.36",06-01-2026,"4,975.72","17,857.56",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
069-159-7116,7366901,LSA | Sanders-Lara | Synthetic,160471,119652,Sanders-Lara,8295,Sanders-Lara INC,"46,410.70",10-04-2026,"5,103.12","30,955.92",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
137-805-6197,9216536,"LSA | Barnes, Bryant and Calderon | Synthetic",299495,901686,"Barnes, Bryant and Calderon",6385,"Barnes, Bryant and Calderon INC","9,976.08",01-05-2026,"8,460.11","63,050.41",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
132-903-7914,5921221,"LSA | Barnes, Bryant and Calderon | Synthetic",299495,901686,"Barnes, Bryant and Calderon",6385,"Barnes, Bryant and Calderon INC","3,132.21",03-03-2026,"5,936.20","54,293.44",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
306-672-6374,3962068,LSA | Snow-Mccarthy | Synthetic,361296,221406,Snow-Mccarthy,6385,Snow-Mccarthy INC,"37,500.47",03-03-2026,"7,143.10","38,206.57",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
609-715-1340,0813595,LSA | Walker Ltd | Synthetic,468677,798080,Walker Ltd,6385,Walker Ltd INC,"15,476.87",01-05-2026,0.00,"56,489.87",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
039-387-0109,4359518,LSA | Walker Ltd | Synthetic,468677,798080,Walker Ltd,6385,Walker Ltd INC,"52,442.26",01-05-2026,0.00,"53,518.22",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
378-312-4743,2063760,LSA | Wallace-Dean | Synthetic,942599,126544,Wallace-Dean,5673,Wallace-Dean INC,"3,708.54",01-05-2026,0.00,"42,311.42",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
096-324-7981,3209594,LSA | York Ltd | Synthetic,261671,691191,York Ltd,6385,York Ltd INC,"21,270.02",27-03-2026,"5,194.04","6,378.43",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
157-822-5763,6403586,"LSA | Cox, Thornton and Stout | Synthetic",907675,631921,"Cox, Thornton and Stout",5673,"Cox, Thornton and Stout INC","31,946.31",09-09-2025,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
947-867-5141,5681696,LSA | Solis-Newton | Synthetic,743566,140570,Solis-Newton,5673,Solis-Newton INC,"22,467.80",06-01-2026,0.00,"62,628.35",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
735-208-2165,2563926,LSA | Valdez-Garcia | Synthetic,915910,480363,Valdez-Garcia,6385,Valdez-Garcia INC,"26,451.88",31-03-2026,"7,735.46","31,942.43",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
851-169-0018,4900553,LSA | Valdez-Garcia | Synthetic,915910,480363,Valdez-Garcia,6385,Valdez-Garcia INC,"53,674.20",05-01-2026,0.00,"42,993.80",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
154-510-0493,0302089,"LSA | Howard, Castillo and Johnson | Synthetic",985281,338758,"Howard, Castillo and Johnson",5673,"Howard, Castillo and Johnson INC","51,507.30",30-01-2026,"6,259.75","58,560.11",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
312-559-1207,3002895,LSA | Dillon PLC | Synthetic,641591,096047,Dillon PLC,5673,Dillon PLC INC,"55,403.00",01-05-2026,0.00,"40,314.12",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
300-390-3412,2624833,"LSA | Peterson, Calhoun and White | Synthetic",182200,571157,"Peterson, Calhoun and White",5673,"Peterson, Calhoun and White INC","7,410.34",03-11-2025,"12,836.89","16,120.27",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
322-326-5713,7437837,LSA | Baker-Scott | Synthetic,841671,359789,Baker-Scott,5673,Baker-Scott INC,"48,128.40",21-02-2026,375.25,"50,468.24",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
381-602-4170,5693688,LSA | Baker-Scott | Synthetic,841671,359789,Baker-Scott,5673,Baker-Scott INC,"11,527.58",03-04-2026,"6,979.12","1,894.31",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
372-481-0111,6114930,LSA | Hodge-Brooks | Synthetic,824152,669378,Hodge-Brooks,5673,Hodge-Brooks INC,"50,253.58",21-04-2026,"5,983.39","32,807.20",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
807-069-7859,8930723,LSA | Cook and Sons | Synthetic,840325,264473,Cook and Sons,5673,Cook and Sons INC,"28,803.45",01-05-2026,"8,313.59","12,167.32",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
424-112-1800,4564069,LSA | Orr Ltd | Synthetic,898361,919986,Orr Ltd,5673,Orr Ltd INC,"34,017.34",01-05-2026,0.00,"46,636.79",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
993-941-2027,1556315,LSA | Orr Ltd | Synthetic,898361,919986,Orr Ltd,5673,Orr Ltd INC,"8,331.80",12-04-2026,"1,929.63","39,687.66",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
436-210-2335,6934007,"LSA | Padilla, Bell and Jenkins | Synthetic",024123,991171,"Padilla, Bell and Jenkins",5673,"Padilla, Bell and Jenkins INC","27,836.13",24-04-2026,"10,739.99","28,167.81",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
671-883-0494,1351106,"LSA | Sanchez, Foley and Wong | Synthetic",466202,505141,"Sanchez, Foley and Wong",8295,"Sanchez, Foley and Wong INC","49,556.87",05-05-2026,"7,012.75","4,399.90",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
151-832-1635,7673158,"LSA | Anderson, Bennett and Wood | Synthetic",204463,944946,"Anderson, Bennett and Wood",8295,"Anderson, Bennett and Wood INC","5,242.76",10-04-2026,0.00,"51,187.47",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
003-420-1425,7417684,LSA | Thompson-Taylor | Synthetic,535557,698882,Thompson-Taylor,5673,Thompson-Taylor INC,"45,631.04",01-05-2026,"3,372.47","4,335.36",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
891-855-1918,3081104,LSA | Davis Inc | Synthetic,572569,264313,Davis Inc,5673,Davis Inc INC,"26,317.06",06-01-2026,"8,618.25","58,279.93",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
491-396-9086,5367380,LSA | Garcia-Young | Synthetic,460603,721959,Garcia-Young,8295,Garcia-Young INC,"27,080.85",28-04-2026,"6,191.16","51,033.33",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
